poi_id,poi_name,original_share,counterfactual_share,share_change,dist_to_removed_m,freq,category
Luciano's|40.694111|-73.985019,Luciano's,0.0003096714239820558,0.0003286496347883418,1.897821080628601e-05,256.4364478219299,16,Full-Service Restaurants
Nam|40.693426|-73.990827,Nam,0.00016644308154323698,0.00018539206771795138,1.8948986174714395e-05,239.61870781233392,32,Full-Service Restaurants
Doner Kebab NYC|40.692118|-73.987560,Doner Kebab NYC,0.00016952148899930346,0.00018831562276520932,1.879413376590586e-05,197.4830800516064,40,Full-Service Restaurants
Bunsmith|40.690878|-73.982881,Bunsmith,0.0002704258021560037,0.0002890804706506006,1.865466849459692e-05,546.7971232160457,20,Full-Service Restaurants
Smith Gourmet Deli|40.687518|-73.990087,Smith Gourmet Deli,0.00018973752724860634,0.00020747251715816186,1.773498990955552e-05,725.538238111067,27,Limited-Service Restaurants
Chipotle Mexican Grill|40.689234|-73.992813,Chipotle Mexican Grill,0.00015640740290488993,0.00017408401186557877,1.767660896068884e-05,652.6424250864585,24,Limited-Service Restaurants
Shinjuku|40.690252|-73.993830,Shinjuku,0.00011247840997193344,0.0001301282155379234,1.7649805565989952e-05,631.4527686462336,25,Full-Service Restaurants
Outlaw Burger|40.696482|-73.987330,Outlaw Burger,0.0003101593030235372,0.00032775944047417553,1.7600137450638322e-05,298.10389890171876,29,Limited-Service Restaurants
Luntey Commons|40.691945|-73.983992,Luntey Commons,0.00015119936698928963,0.00016861737190019795,1.7418004910908324e-05,402.17465329219004,27,Full-Service Restaurants
Hale and Hearty Soups|40.692850|-73.990950,Hale and Hearty Soups,0.00011360041805490876,0.000130567340936969,1.6966922882060242e-05,269.48448068064096,30,Limited-Service Restaurants
Junior's|40.690221|-73.981896,Junior's,0.00016087350306854533,0.00017734271831226471,1.646921524371938e-05,657.1732628825744,23,Full-Service Restaurants
Chau Down Cafe|40.689761|-73.979838,Chau Down Cafe,0.00023315731347278736,0.00024955919684409045,1.640188337130309e-05,828.1120855480843,36,Snack and Nonalcoholic Beverage Bars
Go Detox Juice Bar Grill|40.691408|-73.985437,Go Detox Juice Bar Grill,0.00023494162038000484,0.00025115462500454244,1.62130046245376e-05,349.7598303107003,38,Snack and Nonalcoholic Beverage Bars
132 Lounge|40.694611|-73.994049,132 Lounge,9.801681736716132e-05,0.00011388780580117603,1.5870988434014713e-05,513.3493029432066,23,Full-Service Restaurants
Hawa Smoothies & Bubble Tea|40.692119|-73.987012,Hawa Smoothies & Bubble Tea,0.00019837039059343632,0.00021399055928770648,1.5620168694270158e-05,211.76922430337663,42,Snack and Nonalcoholic Beverage Bars
Krispy Krunchy Chicken|40.689191|-73.986137,Krispy Krunchy Chicken,0.00014106200466535983,0.00015636711035534062,1.530510568998079e-05,543.0207639421351,24,Limited-Service Restaurants
